recency,history_segment,history,mens,womens,newbie,segment,visit,conversion,spend,treatment,zip_code_Surburban,zip_code_Urban,channel_Phone,channel_Web,ite,ite_per_dollar,cum_cost,allocated
1,"7) $1,000 +",3215.97,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.020980657301225687,0.002098065730122569,10.0,1
1,"7) $1,000 +",2895.11,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.020012590937545153,0.0020012590937545155,20.0,1
6,"7) $1,000 +",2583.84,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.01950930788789137,0.0019509307887891371,30.0,1
2,"7) $1,000 +",2389.36,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.018573863019171893,0.0018573863019171893,40.0,1
1,"7) $1,000 +",2859.63,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.018175173445446804,0.0018175173445446804,50.0,1
2,"7) $1,000 +",3345.93,1,1,1,No E-Mail,0,0,0.0,0,True,False,True,False,0.01752933017850453,0.001752933017850453,60.0,1
1,"7) $1,000 +",1999.94,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.017311774485585095,0.0017311774485585095,70.0,1
3,"7) $1,000 +",2046.91,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.017289186382404797,0.0017289186382404796,80.0,1
1,"7) $1,000 +",2095.48,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.017261387143483128,0.0017261387143483128,90.0,1
1,"7) $1,000 +",2080.11,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.017215014332881088,0.0017215014332881088,100.0,1
1,"7) $1,000 +",2072.15,1,1,1,Womens E-Mail,1,0,0.0,1,True,False,False,False,0.017190998225373462,0.0017190998225373462,110.0,1
1,"7) $1,000 +",1946.37,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.017150148495737916,0.0017150148495737917,120.0,1
1,"7) $1,000 +",1865.48,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.016906095363037926,0.0016906095363037926,130.0,1
1,"7) $1,000 +",1953.9,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.016834226276532152,0.0016834226276532152,140.0,1
1,"7) $1,000 +",3003.48,1,1,1,No E-Mail,0,0,0.0,0,False,True,True,False,0.01674759575597848,0.0016747595755978479,150.0,1
3,"7) $1,000 +",2079.58,1,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,False,0.016652336511681444,0.0016652336511681445,160.0,1
3,"7) $1,000 +",1716.48,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.016630887356106464,0.0016630887356106465,170.0,1
2,"7) $1,000 +",1840.85,1,1,1,No E-Mail,1,0,0.0,0,True,False,False,False,0.016580313109194684,0.0016580313109194685,180.0,1
1,"7) $1,000 +",2766.42,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.016425973701235795,0.0016425973701235796,190.0,1
9,"7) $1,000 +",1465.25,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.016395920793448766,0.0016395920793448766,200.0,1
5,"7) $1,000 +",1667.27,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.016318114677538787,0.0016318114677538788,210.0,1
1,"7) $1,000 +",1761.53,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.016253826954768066,0.0016253826954768067,220.0,1
4,"7) $1,000 +",1530.06,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.016155609640046066,0.0016155609640046067,230.0,1
1,"7) $1,000 +",1613.77,1,1,1,Womens E-Mail,1,0,0.0,1,False,True,False,False,0.016146661390582566,0.0016146661390582565,240.0,1
1,"7) $1,000 +",1596.15,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.01609350010738101,0.001609350010738101,250.0,1
2,"7) $1,000 +",1659.68,1,1,1,No E-Mail,1,0,0.0,0,True,False,False,False,0.016033705295481534,0.0016033705295481534,260.0,1
1,"7) $1,000 +",1570.2,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.016015206390066577,0.0016015206390066576,270.0,1
2,"7) $1,000 +",1643.83,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015985884277391598,0.0015985884277391598,280.0,1
1,"7) $1,000 +",1657.03,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.01593854011625714,0.001593854011625714,290.0,1
3,"7) $1,000 +",1486.76,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015937799389190387,0.0015937799389190387,300.0,1
1,"7) $1,000 +",1655.63,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.015934316177750773,0.0015934316177750774,310.0,1
1,"7) $1,000 +",2728.69,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,True,False,0.015918527140146736,0.0015918527140146737,320.0,1
3,"7) $1,000 +",1829.32,1,1,1,Mens E-Mail,0,0,0.0,1,False,False,False,False,0.015897277332679108,0.0015897277332679108,330.0,1
1,"7) $1,000 +",1516.24,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.01585240373163548,0.001585240373163548,340.0,1
1,"7) $1,000 +",1862.61,1,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,False,0.01582337682205938,0.0015823376822059379,350.0,1
9,"7) $1,000 +",1380.72,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015802244446460074,0.0015802244446460074,360.0,1
1,"7) $1,000 +",1493.6,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.01578409661178967,0.0015784096611789668,370.0,1
1,"7) $1,000 +",1843.47,1,1,1,Mens E-Mail,0,0,0.0,1,False,False,False,False,0.015765629548479484,0.0015765629548479484,380.0,1
2,"7) $1,000 +",1552.79,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015711207590520453,0.0015711207590520452,390.0,1
3,"7) $1,000 +",1767.39,1,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,False,0.015710428395751052,0.0015710428395751051,400.0,1
1,"7) $1,000 +",1458.7,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.015678799859023818,0.0015678799859023818,410.0,1
9,"7) $1,000 +",1214.07,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.01563808588342796,0.0015638085883427958,420.0,1
2,"7) $1,000 +",1411.83,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.01562455829908016,0.001562455829908016,430.0,1
1,"7) $1,000 +",1551.66,1,1,1,No E-Mail,1,0,0.0,0,True,False,False,False,0.015620628401674401,0.00156206284016744,440.0,1
2,"7) $1,000 +",1403.78,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.015600270652668554,0.0015600270652668554,450.0,1
3,"7) $1,000 +",1480.47,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.01558018086272892,0.001558018086272892,460.0,1
1,"7) $1,000 +",1425.75,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.01557938644917755,0.001557938644917755,470.0,1
1,"7) $1,000 +",1424.81,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015576550376180418,0.0015576550376180417,480.0,1
1,"7) $1,000 +",3040.2,0,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.015521624225193795,0.0015521624225193795,490.0,1
1,"7) $1,000 +",1515.82,1,1,1,Womens E-Mail,1,1,499.0,1,True,False,False,False,0.01551249557591142,0.001551249557591142,500.0,1
4,"7) $1,000 +",1425.53,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.015501591314394996,0.0015501591314394996,510.0,1
2,"7) $1,000 +",1367.77,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.015491624920086943,0.0015491624920086944,520.0,1
3,"7) $1,000 +",1694.68,1,1,1,No E-Mail,1,1,86.78,0,False,False,False,False,0.015491055132323977,0.0015491055132323976,530.0,1
12,"7) $1,000 +",1071.42,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.01546920632177343,0.001546920632177343,540.0,1
1,"7) $1,000 +",1500.19,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.01546533831958677,0.001546533831958677,550.0,1
3,"7) $1,000 +",1328.17,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.01545931766938706,0.001545931766938706,560.0,1
4,"7) $1,000 +",1290.15,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.015431777435001508,0.0015431777435001507,570.0,1
4,"7) $1,000 +",1288.83,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015427794864409788,0.0015427794864409788,580.0,1
4,"7) $1,000 +",1286.17,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015419769381247693,0.0015419769381247693,590.0,1
2,"7) $1,000 +",1914.85,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.015411848582466341,0.001541184858246634,600.0,1
2,"7) $1,000 +",1451.17,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.01540460999693691,0.001540460999693691,610.0,1
1,"7) $1,000 +",1716.01,1,1,1,No E-Mail,0,0,0.0,0,False,False,False,False,0.015381070118464148,0.0015381070118464148,620.0,1
2,"7) $1,000 +",1330.49,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015379147471860269,0.0015379147471860268,630.0,1
6,"7) $1,000 +",1322.18,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.015364113873760412,0.001536411387376041,640.0,1
1,"7) $1,000 +",1466.51,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015363722427519327,0.0015363722427519327,650.0,1
4,"7) $1,000 +",1378.95,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015361054846090317,0.0015361054846090316,660.0,1
11,"7) $1,000 +",1174.73,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.015355091971330165,0.0015355091971330165,670.0,1
4,"7) $1,000 +",1834.13,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,True,0.015342648090688239,0.001534264809068824,680.0,1
2,"7) $1,000 +",2002.47,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.015337565816814069,0.0015337565816814069,690.0,1
1,"7) $1,000 +",1344.78,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.01533509194856291,0.001533509194856291,700.0,1
2,"7) $1,000 +",1426.46,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.015330057482299542,0.0015330057482299542,710.0,1
6,"7) $1,000 +",1299.52,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015295746411935937,0.0015295746411935938,720.0,1
10,"7) $1,000 +",1065.03,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.015275587325487543,0.0015275587325487543,730.0,1
4,"7) $1,000 +",1345.49,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015260102715788159,0.0015260102715788158,740.0,1
2,"7) $1,000 +",1403.07,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.01525948753825389,0.0015259487538253889,750.0,1
2,"7) $1,000 +",1640.42,1,1,1,Mens E-Mail,0,0,0.0,1,False,False,False,False,0.015240177477161318,0.0015240177477161318,760.0,1
1,"7) $1,000 +",1424.3,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.015236370681552376,0.0015236370681552375,770.0,1
1,"7) $1,000 +",1309.92,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015229915879754384,0.0015229915879754383,780.0,1
12,"6) $750 - $1,000",991.76,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.015228864220761175,0.0015228864220761175,790.0,1
1,"7) $1,000 +",1309.03,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015227230661703908,0.001522723066170391,800.0,1
3,"7) $1,000 +",1247.75,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015216682573185637,0.0015216682573185637,810.0,1
10,"7) $1,000 +",1730.73,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.015215058289141357,0.0015215058289141357,820.0,1
1,"7) $1,000 +",1416.06,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015211509786343476,0.0015211509786343476,830.0,1
1,"7) $1,000 +",1411.37,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.01519735959234715,0.001519735959234715,840.0,1
10,"7) $1,000 +",1148.64,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.015189205993113465,0.0015189205993113466,850.0,1
4,"7) $1,000 +",1317.57,1,1,1,Mens E-Mail,1,1,29.99,1,True,False,False,False,0.015175865313575478,0.0015175865313575478,860.0,1
