rank,recency,history_segment,history,mens,womens,newbie,segment,visit,conversion,spend,treatment,zip_code_Surburban,zip_code_Urban,channel_Phone,channel_Web,ite,allocated,discount_tier,tier_cost,ite_multiplier,expected_incremental_conversion
1,1,"7) $1,000 +",3215.97,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.020980657301225687,1,low,5.0,1.0,0.020980657301225687
2,1,"7) $1,000 +",2895.11,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.020012590937545153,1,low,5.0,1.0,0.020012590937545153
3,6,"7) $1,000 +",2583.84,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.01950930788789137,1,low,5.0,1.0,0.01950930788789137
4,2,"7) $1,000 +",2389.36,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.018573863019171893,1,low,5.0,1.0,0.018573863019171893
5,1,"7) $1,000 +",2859.63,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.018175173445446804,1,low,5.0,1.0,0.018175173445446804
6,2,"7) $1,000 +",3345.93,1,1,1,No E-Mail,0,0,0.0,0,True,False,True,False,0.01752933017850453,1,low,5.0,1.0,0.01752933017850453
7,1,"7) $1,000 +",1999.94,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.017311774485585095,1,low,5.0,1.0,0.017311774485585095
8,3,"7) $1,000 +",2046.91,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.017289186382404797,1,low,5.0,1.0,0.017289186382404797
9,1,"7) $1,000 +",2095.48,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.017261387143483128,1,low,5.0,1.0,0.017261387143483128
10,1,"7) $1,000 +",2080.11,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.017215014332881088,1,low,5.0,1.0,0.017215014332881088
11,1,"7) $1,000 +",2072.15,1,1,1,Womens E-Mail,1,0,0.0,1,True,False,False,False,0.017190998225373462,1,low,5.0,1.0,0.017190998225373462
