recency,history_segment,history,mens,womens,newbie,segment,visit,conversion,spend,treatment,zip_code_Surburban,zip_code_Urban,channel_Phone,channel_Web,ite
10,2) $100 - $200,142.44,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.001584416260043422
6,3) $200 - $350,329.08,1,1,1,No E-Mail,0,0,0.0,0,False,False,False,True,0.009902043608460379
7,2) $100 - $200,180.65,0,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.007078457199131224
9,5) $500 - $750,675.83,1,0,1,Mens E-Mail,0,0,0.0,1,False,False,False,True,0.006031429374212495
2,1) $0 - $100,45.34,1,0,0,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.002794325362394182
6,2) $100 - $200,134.83,0,1,0,Womens E-Mail,1,0,0.0,1,True,False,True,False,0.003192732784811339
9,3) $200 - $350,280.2,1,0,1,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0037116056451735276
9,1) $0 - $100,46.42,0,1,0,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.003526141643461329
9,5) $500 - $750,675.07,1,1,1,Mens E-Mail,0,0,0.0,1,False,False,True,False,0.009345851898487597
10,1) $0 - $100,32.84,0,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.00723265038115395
7,5) $500 - $750,548.91,0,1,1,Womens E-Mail,1,0,0.0,1,False,True,True,False,0.006666587655416268
1,3) $200 - $350,211.45,0,1,1,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.005125418247136193
5,5) $500 - $750,642.9,0,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.01002914226881348
2,2) $100 - $200,101.64,0,1,0,Mens E-Mail,1,0,0.0,1,False,True,False,True,0.0049441441481842385
4,3) $200 - $350,241.42,0,1,1,No E-Mail,0,0,0.0,0,False,False,False,False,0.007995249029224924
3,1) $0 - $100,58.13,1,0,1,No E-Mail,1,0,0.0,0,False,True,False,True,0.004718807627955672
5,1) $0 - $100,29.99,1,0,0,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.0008092941497560616
9,2) $100 - $200,112.35,1,0,0,Mens E-Mail,0,0,0.0,1,False,False,False,True,0.0025326307642233774
11,3) $200 - $350,219.04,1,1,0,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.007080998795833708
5,"6) $750 - $1,000",828.42,1,0,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.008608918347030238
9,1) $0 - $100,29.99,0,1,1,No E-Mail,0,0,0.0,0,True,False,True,False,0.004936653436973307
11,2) $100 - $200,182.32,1,0,0,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.001791908032547832
2,2) $100 - $200,118.4,1,0,0,Mens E-Mail,1,0,0.0,1,True,False,False,True,0.0026761136362756996
2,1) $0 - $100,29.99,0,1,1,No E-Mail,0,0,0.0,0,False,True,True,False,0.004665105341784062
4,1) $0 - $100,78.24,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.0027292866772248995
6,2) $100 - $200,139.87,0,1,1,Mens E-Mail,0,0,0.0,1,False,False,False,True,0.006132831544718662
12,2) $100 - $200,115.39,0,1,0,Mens E-Mail,1,0,0.0,1,True,False,True,False,0.0036570995838612736
6,2) $100 - $200,162.98,0,1,0,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.005139251490776114
7,4) $350 - $500,435.73,0,1,1,No E-Mail,0,0,0.0,0,False,True,False,True,0.008186699769163346
2,3) $200 - $350,203.35,1,0,0,No E-Mail,0,0,0.0,0,False,False,False,True,0.002196997697775805
2,3) $200 - $350,237.53,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0031539093770361405
9,3) $200 - $350,334.24,1,0,0,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.004276154313533629
6,2) $100 - $200,128.01,0,1,0,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.005372384515257095
